Country,ID,nl,en,zh,es,hi,ar
montserrat,Q13353,Montserrat,Montserrat,蒙塞拉特島,Montserrat,मॉण्टसेराट,مونتسيرات
swaziland,Q1050,Swaziland,Eswatini,斯威士兰,Esuatini,एस्वातीनी,إسواتيني
switzerland,Q39,Zwitserland,Switzerland,瑞士,Suiza,स्विट्ज़रलैण्ड,سويسرا
venezuela,Q717,Venezuela,Venezuela,委內瑞拉,Venezuela,वेनेज़ुएला,فنزويلا
turkey,Q43,Turkije,Turkey,土耳其,Turquía,तुर्की,تركيا
algeria,Q262,Algerije,Algeria,阿爾及利亞,Argelia,अल्जीरिया,الجزائر
macedonia,Q221,Noord-Macedonië,North Macedonia,北马其顿,Macedonia del Norte,उत्तर मैसिडोनिया,مقدونيا الشمالية
france,Q142,Frankrijk,France,法國,Francia,फ़्रान्स,فرنسا
guinea-bissau,Q1007,Guinee-Bissau,Guinea-Bissau,畿內亞比紹,Guinea-Bisáu,गिनी-बिसाऊ,غينيا بيساو
angola,Q916,Angola,Angola,安哥拉,Angola,अंगोला,أنغولا
pitcairn_islands,Q35672,Pitcairneilanden,Pitcairn Islands,皮特凯恩群岛,Islas Pitcairn,पिटकेर्न द्वीपसमूह,جزر بيتكيرن
bosnia_and_herzegovina,Q225,Bosnië en Herzegovina,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,Bosnia y Herzegovina,बोस्निया और हर्ज़ेगोविना,البوسنة والهرسك
trinidad_and_tobago,Q754,Trinidad en Tobago,Trinidad and Tobago,千里達及托巴哥,Trinidad y Tobago,त्रिनिदाद और टोबैगो,ترينيداد وتوباغو
tuvalu,Q672,Tuvalu,Tuvalu,吐瓦魯,Tuvalu,तुवालू,توفالو
united_kingdom,Q145,Verenigd Koninkrijk,United Kingdom,英国,Reino Unido,यूनाइटेड किंगडम,المملكة المتحدة
syria,Q858,Syrië,Syria,敘利亞,Siria,सीरिया,سوريا
central_african_republic,Q929,Centraal-Afrikaanse Republiek,Central African Republic,中非共和國,República Centroafricana,मध्य अफ़्रीकी गणराज्य,جمهورية إفريقيا الوسطى
malawi,Q1020,Malawi,Malawi,馬拉威,Malaui,मलावी,مالاوي
falkland_islands,Q9648,Falklandeilanden,Falkland Islands,福克蘭群島,Islas Malvinas,फ़ॉकलैंड द्वीपसमूह,جزر فوكلاند
ecuador,Q736,Ecuador,Ecuador,厄瓜多尔,Ecuador,ईक्वाडोर,الإكوادور
tunisia,Q948,Tunesië,Tunisia,突尼西亞,Túnez,ट्यूनिशिया,تونس
curaçao,Q25279,Curaçao,Curaçao,库拉索,Curazao,कुराकाओ,كوراساو
canada,Q16,Canada,Canada,加拿大,Canadá,कनाडा,كندا
greenland,Q223,Groenland,Greenland,格陵兰,Groenlandia,ग्रीनलैण्ड,جرينلاند
dominica,Q784,Dominica,Dominica,多米尼克,Dominica,डोमिनिका,دومينيكا
egypt,Q79,Egypte,Egypt,埃及,Egipto,मिस्र,مصر
indonesia,Q252,Indonesië,Indonesia,印度尼西亚,Indonesia,इंडोनेशिया,إندونيسيا
solomon_islands,Q685,Salomonseilanden,Solomon Islands,所罗门群岛,Islas Salomón,सोलोमन द्वीपसमूह,جزر سليمان
india,Q668,India,India,印度,India,भारत,الهند
panama,Q804,Panama,Panama,巴拿馬,Panamá,पनामा,بنما
oman,Q842,Oman,Oman,阿曼,Omán,ओमान,سلطنة عمان
saint_pierre_and_miquelon,Q34617,Saint-Pierre en Miquelon,Saint Pierre and Miquelon,圣皮埃尔和密克隆,San Pedro y Miquelón,सन्त पियर और मिकलान,سان بيير وميكلون
japan,Q17,Japan,Japan,日本,Japón,जापान,اليابان
south_africa,Q258,Zuid-Afrika,South Africa,南非,Sudáfrica,दक्षिण अफ़्रीका,جنوب إفريقيا
uganda,Q1036,Oeganda,Uganda,烏干達,Uganda,युगाण्डा,أوغندا
kyrgyzstan,Q813,Kirgizië,Kyrgyzstan,吉尔吉斯斯坦,Kirguistán,किर्गिज़स्तान,قرغيزستان
liberia,Q1014,Liberia,Liberia,利比里亞,Liberia,लाइबेरिया,ليبيريا
republic_of_the_congo,Q971,Congo-Brazzaville,Republic of the Congo,剛果共和國,República del Congo,कांगो गणराज्य,جمهورية الكونغو
mali,Q912,Mali,Mali,马里,Mali,माली,مالي
montenegro,Q236,Montenegro,Montenegro,蒙特內哥羅,Montenegro,मॉन्टेनीग्रो,الجبل الأسود
palestine,Q2190609,Pedro Miguel,Pedro Miguel,,Pedro Miguel,,
brazil,Q155,Brazilië,Brazil,巴西,Brasil,ब्राज़ील,البرازيل
guam,Q16635,Guam,Guam,關島,Guam,गुआम,غوام
norway,Q20,Noorwegen,Norway,挪威,Noruega,नॉर्वे,النرويج
united_arab_emirates,Q878,Verenigde Arabische Emiraten,United Arab Emirates,阿拉伯联合酋长国,Emiratos Árabes Unidos,संयुक्त अरब अमीरात,الإمارات العربية المتحدة
thailand,Q869,Thailand,Thailand,泰國,Tailandia,थाईलैंड,تايلاند
tanzania,Q924,Tanzania,Tanzania,坦桑尼亞,Tanzania,तंज़ानिया,تنزانيا
british_virgin_islands,Q25305,Britse Maagdeneilanden,British Virgin Islands,英屬維爾京群島,Islas Vírgenes Británicas,ब्रिटिश वर्जिन द्वीपसमूह,جزر عذراء بريطانية
croatia,Q224,Kroatië,Croatia,克羅地亞,Croacia,क्रोएशिया,كرواتيا
bhutan,Q917,Bhutan,Bhutan,不丹,Bután,भूटान,بوتان
finland,Q33,Finland,Finland,芬蘭,Finlandia,फ़िनलैण्ड,فنلندا
united_states_minor_outlying_islands,Q16645,Amerikaanse Kleinere Afgelegen Eilanden,United States Minor Outlying Islands,美国本土外小岛屿,Islas ultramarinas de Estados Unidos,संयुक्त राज्य अमेरिका के छोटे दूरस्थ द्वीपसमूह,جزر الولايات المتحدة الصغيرة النائية
cuba,Q241,Cuba,Cuba,古巴,Cuba,क्यूबा,كوبا
turkmenistan,Q874,Turkmenistan,Turkmenistan,土庫曼斯坦,Turkmenistán,तुर्कमेनिस्तान,تركمانستان
brunei,Q921,Brunei,Brunei,汶莱,Brunéi,ब्रुनेई,بروناي
germany,Q183,Duitsland,Germany,德國,Alemania,जर्मनी,ألمانيا
mongolia,Q711,Mongolië,Mongolia,蒙古國,Mongolia,मंगोलिया,منغوليا
myanmar,Q836,Myanmar,Myanmar,緬甸,Birmania,म्यान्मार,ميانمار
sierra_leone,Q1044,Sierra Leone,Sierra Leone,塞拉利昂,Sierra Leona,सिएरा लियोन,سيراليون
madagascar,Q1019,Madagaskar,Madagascar,馬達加斯加,Madagascar,मेडागास्कर,مدغشقر
puerto_rico,Q1183,Puerto Rico,Puerto Rico,波多黎各,Puerto Rico,पोर्टो रीको,بورتوريكو
cayman_islands,Q5785,Kaaimaneilanden,Cayman Islands,開曼群島,Islas Caimán,केमन द्वीपसमूह,جزر كايمان
lesotho,Q1013,Lesotho,Lesotho,莱索托,Lesoto,लेसोथो,ليسوتو
kenya,Q114,Kenia,Kenya,肯尼亚,Kenia,कीनिया,كينيا
cameroon,Q1009,Kameroen,Cameroon,喀麦隆,Camerún,कैमरुन,الكاميرون
singapore,Q334,Singapore,Singapore,新加坡,Singapur,सिंगापुर,سنغافورة
costa_rica,Q800,Costa Rica,Costa Rica,哥斯达黎加,Costa Rica,कोस्टा रीका,كوستاريكا
christmas_island,Q31063,Christmaseiland,Christmas Island,聖誕島,Isla de Navidad,क्रिसमस द्वीप,جزيرة عيد الميلاد
iceland,Q189,IJsland,Iceland,冰島,Islandia,आइसलैण्ड,آيسلندا
afghanistan,Q889,Afghanistan,Afghanistan,阿富汗,Afganistán,अफ़्ग़ानिस्तान,أفغانستان
yemen,Q805,Jemen,Yemen,也门,Yemen,यमन,اليمن
nigeria,Q1033,Nigeria,Nigeria,奈及利亞,Nigeria,नाइजीरिया,نيجيريا
zimbabwe,Q954,Zimbabwe,Zimbabwe,津巴布韦,Zimbabue,ज़िम्बाब्वे,زيمبابوي
north_korea,Q423,Noord-Korea,North Korea,朝鮮民主主義人民共和國,Corea del Norte,उत्तर कोरिया,كوريا الشمالية
russia,Q159,Rusland,Russia,俄罗斯,Rusia,रूस,روسيا
vietnam,Q881,Vietnam,Vietnam,越南,Vietnam,वियतनाम,فيتنام
georgia,Q230,Georgië,Georgia,格鲁吉亚,Georgia,जॉर्जिया,جورجيا
french_polynesia,Q30971,Frans-Polynesië,French Polynesia,法屬玻里尼西亞,Polinesia Francesa,फ़्रान्सीसी पॉलिनेशिया,بولنيزيا الفرنسية
åland_islands,Q5689,Åland,Åland,奥兰,Åland,ऑलैण्ड द्वीपसमूह,جزر أولاند
lithuania,Q37,Litouwen,Lithuania,立陶宛,Lituania,लिथुआनिया,ليتوانيا
hong_kong,Q8646,Hongkong,Hong Kong,香港,Hong Kong,हांगकांग,هونغ كونغ
niger,Q1032,Niger,Niger,尼日尔,Níger,नाइजर,النيجر
guadeloupe,Q17012,Guadeloupe,Guadeloupe,瓜德羅普,Guadalupe,गुआदेलूप,غوادلوب
zambia,Q953,Zambia,Zambia,贊比亞,Zambia,ज़ाम्बिया,زامبيا
philippines,Q928,Filipijnen,Philippines,菲律賓,Filipinas,फ़िलीपीन्स,الفلبين
saint_barthélemy,Q25362,Saint-Barthélemy,Saint Barthélemy,聖巴泰勒米,San Bartolomé,सेंट बार्थेलेमी,سان بارتيلمي
morocco,Q1028,Marokko,Morocco,摩洛哥,Marruecos,मोरक्को,المغرب
guatemala,Q774,Guatemala,Guatemala,危地马拉,Guatemala,ग्वाटेमाला,غواتيمالا
dr_congo,Q974,Congo-Kinshasa,Democratic Republic of the Congo,刚果民主共和国,República Democrática del Congo,कांगो लोकतान्त्रिक गणराज्य,جمهورية الكونغو الديمقراطية
sudan,Q1049,Soedan,Sudan,苏丹,Sudán,सूडान,السودان
monaco,Q235,Monaco,Monaco,摩納哥,Mónaco,मोनाको,موناكو
cook_islands,Q26988,Cookeilanden,Cook Islands,库克群岛,Islas Cook,कुक द्वीपसमूह,جزر كوك
portugal,Q45,Portugal,Portugal,葡萄牙,Portugal,पुर्तगाल,البرتغال
united_states,Q30,Verenigde Staten,United States,美國,Estados Unidos,संयुक्त राज्य अमेरिका,الولايات المتحدة
malta,Q233,Malta,Malta,馬耳他,Malta,माल्टा,مالطا
poland,Q36,Polen,Poland,波蘭,Polonia,पोलैंड,بولندا
djibouti,Q977,Djibouti,Djibouti,吉布提,Yibuti,जिबूती,جيبوتي
cambodia,Q424,Cambodja,Cambodia,柬埔寨,Camboya,कम्बोडिया,كمبوديا
argentina,Q414,Argentinië,Argentina,阿根廷,Argentina,अर्जेण्टीना,الأرجنتين
denmark,Q35,Denemarken,Denmark,丹麥,Dinamarca,डेनमार्क,الدنمارك
taiwan,Q865,Taiwan,Taiwan,中華民國,República de China,चीनी गणराज्य,تايوان
french_guiana,Q3769,Frans-Guyana,French Guiana,法屬圭亞那,Guayana Francesa,फ़्रान्सीसी गुयाना,غويانا الفرنسية
slovenia,Q215,Slovenië,Slovenia,斯洛文尼亞,Eslovenia,स्लोवेनिया,سلوفينيا
peru,Q419,Peru,Peru,秘鲁,Perú,पेरू,بيرو
maldives,Q826,Malediven,Maldives,馬爾代夫,Maldivas,मालदीव,المالديف
united_states_virgin_islands,Q11703,Amerikaanse Maagdeneilanden,United States Virgin Islands,美屬維爾京群島,Islas Vírgenes de los Estados Unidos,संयुक्त राज्य वर्जिन द्वीपसमूह,جزر العذراء التابعة الولايات المتحدة
south_korea,Q884,Zuid-Korea,South Korea,大韩民国,Corea del Sur,दक्षिण कोरिया,كوريا الجنوبية
tajikistan,Q863,Tadzjikistan,Tajikistan,塔吉克斯坦,Tayikistán,ताजीकिस्तान,طاجيكستان
togo,Q945,Togo,Togo,多哥,Togo,टोगो,توغو
samoa,Q683,Samoa,Samoa,萨摩亚,Samoa,समोआ,ساموا
faroe_islands,Q4628,Faeröer,Faroe Islands,法罗群岛,Islas Feroe,फ़रो द्वीपसमूह,جزر فارو
israel,Q801,Israël,Israel,以色列,Israel,इज़राइल,إسرائيل
rwanda,Q1037,Rwanda,Rwanda,卢旺达,Ruanda,रवाण्डा,رواندا
slovakia,Q214,Slowakije,Slovakia,斯洛伐克,Eslovaquia,स्लोवाकिया,سلوفاكيا
liechtenstein,Q347,Liechtenstein,Liechtenstein,列支敦斯登,Liechtenstein,लिक्टेन्स्टाइन,ليختنشتاين
moldova,Q217,Moldavië,Moldova,摩爾多瓦,Moldavia,मोल्डोवा,مولدوفا
libya,Q1016,Libië,Libya,利比亞,Libia,लीबिया,ليبيا
guernsey,Q25230,Guernsey,Guernsey,根西,Guernsey,ग्वेर्नसे,غيرنزي
mexico,Q96,Mexico,Mexico,墨西哥,México,मेक्सिको,المكسيك
ireland,Q145,Verenigd Koninkrijk,United Kingdom,英国,Reino Unido,यूनाइटेड किंगडम,المملكة المتحدة
marshall_islands,Q709,Marshalleilanden,Marshall Islands,馬紹爾群島,Islas Marshall,मार्शल द्वीपसमूह,جزر مارشال
fiji,Q712,Fiji,Fiji,斐濟,Fiyi,फ़िजी,فيجي
sri_lanka,Q854,Sri Lanka,Sri Lanka,斯里蘭卡,Sri Lanka,श्रीलंका,سريلانكا
south_sudan,Q958,Zuid-Soedan,South Sudan,南蘇丹,Sudán del Sur,दक्षिण सूडान,جنوب السودان
chad,Q657,Tsjaad,Chad,乍得,Chad,चाड,تشاد
norfolk_island,Q35672,Pitcairneilanden,Pitcairn Islands,皮特凯恩群岛,Islas Pitcairn,पिटकेर्न द्वीपसमूह,جزر بيتكيرن
uruguay,Q77,Uruguay,Uruguay,烏拉圭,Uruguay,उरुग्वे,الأوروغواي
cape_verde,Q1011,Kaapverdië,Cape Verde,佛得角,Cabo Verde,केप वर्दे,الرأس الأخضر
lebanon,Q822,Libanon,Lebanon,黎巴嫩,Líbano,लेबनॉन,لبنان
albania,Q222,Albanië,Albania,阿爾巴尼亞,Albania,अल्बानिया,ألبانيا
ivory_coast,Q1008,Ivoorkust,Ivory Coast,科特迪瓦,Costa de Marfil,कोत दिव्वार,ساحل العاج
spain,Q29,Spanje,Spain,西班牙,España,स्पेन,إسبانيا
san_marino,Q238,San Marino,San Marino,圣马力诺,San Marino,सान मारिनो,سان مارينو
iran,Q794,Iran,Iran,伊朗,Irán,ईरान,إيران
senegal,Q1041,Senegal,Senegal,塞内加尔,Senegal,सेनेगल,السنغال
anguilla,Q25228,Anguilla,Anguilla,安圭拉,Anguila,अंगुइला,أنغويلا
palau,Q695,Palau,Palau,帛琉,Palaos,पलाउ,بالاو
mayotte,Q17063,Mayotte,Mayotte,马约特,Mayotte,मेयोट,مايوت
bolivia,Q750,Bolivia,Bolivia,玻利維亞,Bolivia,बोलिविया,بوليفيا
jersey,Q785,Jersey,Jersey,澤西,Jersey,जर्सी,جيرزي
grenada,Q769,Grenada,Grenada,格瑞那達,Granada,ग्रेनाडा,غرينادا
saint_lucia,Q760,Saint Lucia,Saint Lucia,圣卢西亚,Santa Lucía,सेंट लूसिया,سانت لوسيا
namibia,Q1030,Namibië,Namibia,纳米比亚,Namibia,नामीबिया,ناميبيا
kosovo,Q1246,Kosovo,Kosovo,科索沃,Kosovo,कोसोवो गणराज्य,كوسوفو
new_zealand,Q664,Nieuw-Zeeland,New Zealand,新西兰,Nueva Zelanda,न्यूज़ीलैंड,نيوزيلندا
svalbard_and_jan_mayen,Q842829,Spitsbergen en Jan Mayen,Svalbard and Jan Mayen,斯瓦巴和扬马延,Svalbard y Jan Mayen,,سفالبارد ويان ماين
wallis_and_futuna,Q35555,Wallis en Futuna,Wallis and Futuna,瓦利斯和富圖納,Wallis y Futuna,वालिस और फ़्यूचूना,واليس وفوتونا
botswana,Q963,Botswana,Botswana,波札那,Botsuana,बोत्सवाना,بوتسوانا
andorra,Q228,Andorra,Andorra,安道尔,Andorra,अण्डोरा,أندورا
estonia,Q191,Estland,Estonia,愛沙尼亞,Estonia,एस्टोनिया,إستونيا
new_caledonia,Q33788,Nieuw-Caledonië,New Caledonia,新喀里多尼亞,Nueva Caledonia,नया कैलेडोनिया,كاليدونيا الجديدة
honduras,Q783,Honduras,Honduras,洪都拉斯,Honduras,हॉण्डुरस,هندوراس
antigua_and_barbuda,Q781,Antigua en Barbuda,Antigua and Barbuda,安提瓜和巴布达,Antigua y Barbuda,अण्टीगुआ और बारबूडा,أنتيغوا وباربودا
macau,Q14773,Macau,Macau,澳門,Macao,मकाउ,ماكاو
belarus,Q184,Wit-Rusland,Belarus,白俄羅斯,Bielorrusia,बेलारूस,بيلاروس
dominican_republic,Q786,Dominicaanse Republiek,Dominican Republic,多明尼加,República Dominicana,डोमिनिकन गणराज्य,جمهورية الدومينيكان
eritrea,Q986,Eritrea,Eritrea,厄立特里亞,Eritrea,इरित्रिया,إرتريا
greece,Q41,Griekenland,Greece,希腊,Grecia,यूनान,اليونان
kazakhstan,Q232,Kazachstan,Kazakhstan,哈萨克斯坦,Kazajistán,कज़ाख़िस्तान,كازاخستان
mauritius,Q1027,Mauritius,Mauritius,毛里求斯,Mauricio,मॉरिशस,موريشيوس
ukraine,Q212,Oekraïne,Ukraine,烏克蘭,Ucrania,युक्रेन,أوكرانيا
burundi,Q967,Burundi,Burundi,蒲隆地,Burundi,बुरुण्डी,بوروندي
south_georgia,Q35086,Zuid-Georgia en de Zuidelijke Sandwicheilanden,South Georgia and the South Sandwich Islands,南乔治亚和南桑威奇群岛,Islas Georgias del Sur y Sandwich del Sur,दक्षिण जॉर्जिया एवं दक्षिण सैंडविच द्वीप समूह,جورجيا الجنوبية وجزر ساندويتش الجنوبية
sint_maarten,Q25596,Sint Maarten,Saint Martin,圣马丁岛,San Martín,सेंट मार्टिन,سانت مارتن
são_tomé_and_príncipe,Q1039,Sao Tomé en Principe,São Tomé and Príncipe,圣多美和普林西比,Santo Tomé y Príncipe,साओ तोमे और प्रिन्सिपी,ساو تومي وبرينسيب
benin,Q962,Benin,Benin,貝南,Benín,बेनिन,بنين
suriname,Q730,Suriname,Suriname,蘇利南,Surinam,सूरीनाम,سورينام
guinea,Q1006,Guinee,Guinea,几内亚,Guinea,गिनी,غينيا
kiribati,Q710,Kiribati,Kiribati,吉里巴斯,Kiribati,किरिबाती,كيريباتي
czechia,Q213,Tsjechië,Czech Republic,捷克,República Checa,चेक गणराज्य,جمهورية التشيك
romania,Q218,Roemenië,Romania,羅馬尼亞,Rumania,रोमानिया,رومانيا
malaysia,Q833,Maleisië,Malaysia,馬來西亞,Malasia,मलेशिया,ماليزيا
turks_and_caicos_islands,Q18221,Turks- en Caicoseilanden,Turks and Caicos Islands,特克斯和凯科斯群岛,Islas Turcas y Caicos,तुर्क और केकोस द्वीपसमूह,جزر توركس وكايكوس
pakistan,Q843,Pakistan,Pakistan,巴基斯坦,Pakistán,पाकिस्तान,باكستان
burkina_faso,Q965,Burkina Faso,Burkina Faso,布吉納法索,Burkina Faso,बुर्किना फासो,بوركينا فاسو
chile,Q298,Chili,Chile,智利,Chile,चिली,تشيلي
bahamas,Q778,Bahama's,The Bahamas,巴哈馬,Bahamas,बहामास,جزر البهاما
jordan,Q810,Jordanië,Jordan,約旦,Jordania,जॉर्डन,الأردن
saint_vincent_and_the_grenadines,Q757,Saint Vincent en de Grenadines,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,San Vicente y las Granadinas,सन्त विन्सेण्ट और ग्रेनाडाइन्स,سانت فينسنت والغرينادين
bulgaria,Q219,Bulgarije,Bulgaria,保加利亚,Bulgaria,बुल्गारिया,بلغاريا
cyprus,Q229,Cyprus,Cyprus,塞浦路斯,Chipre,साइप्रस,قبرص
timor-leste,Q574,Oost-Timor,Timor-Leste,東帝汶,Timor Oriental,पूर्वी तिमोर,تيمور الشرقية
american_samoa,Q16641,Amerikaans-Samoa,American Samoa,美屬薩摩亞,Samoa Americana,अमेरिकी समोआ,ساموا الأمريكية
saint_kitts_and_nevis,Q763,Saint Kitts en Nevis,Saint Kitts and Nevis,聖克里斯多福及尼維斯,San Cristóbal y Nieves,सन्त किट्स और नेविस,سانت كيتس ونيفيس
jamaica,Q766,Jamaica,Jamaica,牙買加,Jamaica,जमैका,جامايكا
nepal,Q837,Nepal,Nepal,尼泊爾,Nepal,नेपाल,نيبال
haiti,Q790,Haïti,Haiti,海地,Haití,हैती,هايتي
british_indian_ocean_territory,Q43448,Brits Indische Oceaanterritorium,British Indian Ocean Territory,英屬印度洋領地,Territorio Británico del Océano Índico,ब्रिटिश हिंद महासागर क्षेत्र,إقليم المحيط الهندي البريطاني
serbia,Q403,Servië,Serbia,塞爾維亞,Serbia,सर्बिया,صربيا
gibraltar,Q1410,Gibraltar,Gibraltar,直布羅陀,Gibraltar,जिब्राल्टर,جبل طارق
colombia,Q739,Colombia,Colombia,哥伦比亚,Colombia,कोलम्बिया,كولومبيا
nauru,Q697,Nauru,Nauru,瑙鲁,Nauru,नौरु,ناورو
armenia,Q399,Armenië,Armenia,亞美尼亞,Armenia,आर्मीनिया,أرمينيا
barbados,Q244,Barbados,Barbados,巴巴多斯,Barbados,बारबाडोस,باربادوس
qatar,Q846,Qatar,Qatar,卡塔尔,Catar,क़तर,قطر
guyana,Q734,Guyana,Guyana,圭亚那,Guyana,गयाना,غيانا
netherlands,Q55,Nederland,Netherlands,荷蘭,Países Bajos,नीदरलैण्ड,هولندا
italy,Q38,Italië,Italy,意大利,Italia,इटली,إيطاليا
martinique,Q17054,Martinique,Martinique,馬提尼克,Martinica,मार्टीनिक,مارتينيك
somalia,Q1045,Somalië,Somalia,索馬里,Somalia,सोमालिया,الصومال
equatorial_guinea,Q983,Equatoriaal-Guinea,Equatorial Guinea,赤道几内亚,Guinea Ecuatorial,भूमध्यरेखीय गिनी,غينيا الاستوائية
ghana,Q117,Ghana,Ghana,迦納,Ghana,घाना,غانا
australia,Q408,Australië,Australia,澳大利亚,Australia,ऑस्ट्रेलिया,أستراليا
hungary,Q28,Hongarije,Hungary,匈牙利,Hungría,हंगरी,المجر
luxembourg,Q32,Luxemburg,Luxembourg,卢森堡,Luxemburgo,लक्ज़मबर्ग,لوكسمبورغ
austria,Q40,Oostenrijk,Austria,奧地利,Austria,ऑस्ट्रिया,النمسا
southern_asia, Q771405,Zuid-Azië,South Asia,南亚,Asia del Sur,दक्षिण एशिया,جنوب آسيا
south-eastern_asia, Q11708,Zuidoost-Azië,Southeast Asia,东南亚,Sudeste Asiático,दक्षिण पूर्व एशिया,جنوب شرق آسيا
eastern_asia, Q27231,Oost-Azië,East Asia,東亞,Asia Oriental,पूर्वी एशिया,شرق آسيا
central_asia, Q27275,Centraal-Azië,Central Asia,中亚,Asia Central,मध्य एशिया,آسيا الوسطى
western_asia, Q27293,Zuidwest-Azië,West Asia,西亚,Asia Occidental,पश्चिमी एशिया,غرب آسيا
northern_africa, Q27381,Noord-Afrika,North Africa,北部非洲,Norte de África,उत्तर अफ़्रीका,شمال إفريقيا
middle_africa, Q27433,Centraal-Afrika,Central Africa,中部非洲,África Central,मध्य अफ्रीका,وسط إفريقيا
western_africa, Q4412,West-Afrika,West Africa,西非,África Occidental,पश्चिमी अफ्रीका,غرب إفريقيا
eastern_africa, Q27407,Oost-Afrika,East Africa,东部非洲,África Oriental,पूर्वी अफ्रीका,شرق إفريقيا
southern_africa, Q27394,Zuidelijk Afrika,Southern Africa,南部非洲,África austral,दक्षिणी अफ्रीका,إفريقيا الجنوبية
northern_europe, Q27479,Noord-Europa,Northern Europe,北歐,Europa del Norte,उत्तरी यूरोप,أوروبا الشمالية
western_europe, Q27496,West-Europa,Western Europe,西欧,Europa Occidental,पश्चिमी यूरोप,أوروبا الغربية
central_europe, Q27509,Centraal-Europa,Central Europe,中欧,Europa Central,मध्य यूरोप,أوروبا الوسطى
